Number,Creation date,Start date,Start station,End date,End station,Total duration,Subscription type
86684,6/8/2015,6/8/2015 8:27,Summit Ave E & E Republican St,6/8/2015 8:42,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,14m 48s,"The ""Pedal"" Membership"
86685,6/8/2015,6/8/2015 8:29,E Harrison St & Broadway Ave E,6/8/2015 8:33,Pine St & 9th Ave,4m 48s,"The ""Pedal"" Membership"
86686,6/8/2015,6/8/2015 8:30,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,6/8/2015 8:44,Children's Hospital / Sandpoint Way NE & 40th Ave NE,13m 33s,"The ""Pedal"" Membership"
86687,6/8/2015,6/8/2015 8:31,E Harrison St & Broadway Ave E,6/8/2015 8:39,2nd Ave & Pike St,8m 24s,"The ""Pedal"" Membership"
86688,6/8/2015,6/8/2015 8:36,E Pine St & 16th Ave,6/8/2015 8:46,PATH / 9th Ave & Westlake Ave,10m 11s,"The ""Pedal"" Membership"
86689,6/8/2015,6/8/2015 8:37,15th Ave E & E Thomas St,6/8/2015 8:48,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,10m 49s,"The ""Pedal"" Membership"
86690,6/8/2015,6/8/2015 8:39,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 8:43,Pine St & 9th Ave,4m 54s,"The ""Pedal"" Membership"
86691,6/8/2015,6/8/2015 8:39,E Pine St & 16th Ave,6/8/2015 8:45,REI / Yale Ave N & John St,6m 12s,"The ""Pedal"" Membership"
86692,6/8/2015,6/8/2015 8:39,1st Ave & Marion St,6/8/2015 8:49,6th Ave & Blanchard St,10m 2s,"The ""Pedal"" Membership"
86693,6/8/2015,6/8/2015 8:40,1st Ave & Marion St,6/8/2015 8:49,Westlake Ave & 6th Ave,8m 58s,"The ""Pedal"" Membership"
86694,6/8/2015,6/8/2015 8:41,Westlake Ave & 6th Ave,6/8/2015 8:48,9th Ave N & Mercer St,7m 28s,"The ""Gear"" Membership"
86695,6/8/2015,6/8/2015 8:41,12th Ave & E Mercer St,6/8/2015 8:53,2nd Ave & Spring St,11m 53s,"The ""Gear"" Membership"
86696,6/8/2015,6/8/2015 8:41,Summit Ave E & E Republican St,6/8/2015 8:50,2nd Ave & Spring St,8m 42s,"The ""Gear"" Membership"
86697,6/8/2015,6/8/2015 8:44,Westlake Ave & 6th Ave,6/8/2015 8:50,Republican St & Westlake Ave N,6m 30s,"The ""Pedal"" Membership"
86698,6/8/2015,6/8/2015 8:44,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 8:53,2nd Ave & Spring St,8m 27s,"The ""Pedal"" Membership"
86699,6/8/2015,6/8/2015 8:45,REI / Yale Ave N & John St,6/8/2015 8:50,Pine St & 9th Ave,5m 15s,"The ""Pedal"" Membership"
86700,6/8/2015,6/8/2015 8:46,Dexter Ave N & Aloha St,6/8/2015 8:49,9th Ave N & Mercer St,3m 36s,"The ""Gear"" Membership"
86701,6/8/2015,6/8/2015 8:47,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,6/8/2015 8:57,7th Ave & Union St,9m 45s,"The ""Pedal"" Membership"
86702,6/8/2015,6/8/2015 8:48,Dexter Ave N & Aloha St,6/8/2015 8:56,PATH / 9th Ave & Westlake Ave,7m 44s,"The ""Pedal"" Membership"
86703,6/8/2015,6/8/2015 8:48,Summit Ave E & E Republican St,6/8/2015 8:56,7th Ave & Union St,7m 20s,"The ""Pedal"" Membership"
86704,6/8/2015,6/8/2015 8:49,12th Ave & E Denny Way,6/8/2015 8:58,Republican St & Westlake Ave N,8m 34s,"The ""Pedal"" Membership"
86705,6/8/2015,6/8/2015 8:50,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 8:59,9th Ave N & Mercer St,9m 39s,"The ""Gear"" Membership"
86706,6/8/2015,6/8/2015 8:50,E Pine St & 16th Ave,6/8/2015 8:57,REI / Yale Ave N & John St,6m 35s,"The ""Pedal"" Membership"
86707,6/8/2015,6/8/2015 8:51,3rd Ave & Broad St,6/8/2015 9:02,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,10m 30s,"The ""Pedal"" Membership"
86708,6/8/2015,6/8/2015 8:52,Frye Art Museum / Terry Ave & Columbia St,6/8/2015 9:13,2nd Ave & Pike St,21m 11s,3-Day Pass
86709,6/8/2015,6/8/2015 8:52,2nd Ave & Vine St,6/8/2015 9:01,Pine St & 9th Ave,8m 52s,"The ""Gear"" Membership"
86710,6/8/2015,6/8/2015 8:52,Westlake Ave & 6th Ave,6/8/2015 9:01,Pier 69 / Alaskan Way & Clay St,8m 20s,"The ""Pedal"" Membership"
86711,6/8/2015,6/8/2015 8:53,12th Ave & E Mercer St,6/8/2015 9:04,2nd Ave & Pike St,11m 15s,"The ""Pedal"" Membership"
86712,6/8/2015,6/8/2015 8:53,12th Ave & E Mercer St,6/8/2015 9:02,Republican St & Westlake Ave N,9m 22s,"The ""Pedal"" Membership"
86713,6/8/2015,6/8/2015 8:55,Westlake Ave & 6th Ave,6/8/2015 8:59,Republican St & Westlake Ave N,4m 15s,"The ""Pedal"" Membership"
86714,6/8/2015,6/8/2015 8:55,2nd Ave & Blanchard St,6/8/2015 8:59,2nd Ave & Spring St,3m 57s,"The ""Pedal"" Membership"
86715,6/8/2015,6/8/2015 8:59,Lake Union Park / Valley St & Boren Ave N,6/8/2015 9:55,Lake Union Park / Valley St & Boren Ave N,56m 14s,"The ""Pedal"" Membership"
86716,6/8/2015,6/8/2015 9:00,Dexter Ave N & Aloha St,6/8/2015 9:03,Republican St & Westlake Ave N,3m 30s,"The ""Pedal"" Membership"
86717,6/8/2015,6/8/2015 9:02,Eastlake Ave E & E Allison St,6/8/2015 9:15,9th Ave N & Mercer St,13m 14s,"The ""Pedal"" Membership"
86718,6/8/2015,6/8/2015 9:02,E Harrison St & Broadway Ave E,6/8/2015 9:08,Pine St & 9th Ave,6m 8s,"The ""Pedal"" Membership"
86719,6/8/2015,6/8/2015 9:06,3rd Ave & Broad St,6/8/2015 9:14,2nd Ave & Spring St,8m 6s,"The ""Pedal"" Membership"
86720,6/8/2015,6/8/2015 9:06,7th Ave & Union St,6/8/2015 9:18,3rd Ave & Broad St,12m 1s,"The ""Pedal"" Membership"
86721,6/8/2015,6/8/2015 9:08,12th Ave & E Denny Way,6/8/2015 9:14,Pine St & 9th Ave,5m 46s,"The ""Pedal"" Membership"
86722,6/8/2015,6/8/2015 9:09,6th Ave & Blanchard St,6/8/2015 9:13,9th Ave N & Mercer St,3m 40s,"The ""Pedal"" Membership"
86723,6/8/2015,6/8/2015 9:10,E Pine St & 16th Ave,6/8/2015 9:17,7th Ave & Union St,6m 55s,"The ""Pedal"" Membership"
86724,6/8/2015,6/8/2015 9:11,Pine St & 9th Ave,6/8/2015 9:17,Bellevue Ave & E Pine St,5m 10s,24-Hour Pass
86725,6/8/2015,6/8/2015 9:12,15th Ave E & E Thomas St,6/8/2015 9:27,2nd Ave & Pike St,14m 40s,"The ""Pedal"" Membership"
86726,6/8/2015,6/8/2015 9:14,Summit Ave & E Denny Way,6/8/2015 9:24,9th Ave N & Mercer St,10m 27s,"The ""Gear"" Membership"
86727,6/8/2015,6/8/2015 9:14,2nd Ave & Spring St,6/8/2015 9:20,2nd Ave & Blanchard St,5m 38s,"The ""Pedal"" Membership"
86728,6/8/2015,6/8/2015 9:14,E Pine St & 16th Ave,6/8/2015 9:30,3rd Ave & Broad St,16m 6s,"The ""Pedal"" Membership"
86729,6/8/2015,6/8/2015 9:15,Key Arena / 1st Ave N & Harrison St,6/8/2015 9:24,Westlake Ave & 6th Ave,9m 20s,"The ""Pedal"" Membership"
86730,6/8/2015,6/8/2015 9:18,E Pine St & 16th Ave,6/8/2015 9:22,15th Ave E & E Thomas St,3m 54s,"The ""Pedal"" Membership"
86731,6/8/2015,6/8/2015 9:19,Summit Ave & E Denny Way,6/8/2015 9:22,Pine St & 9th Ave,3m 12s,"The ""Pedal"" Membership"
86732,6/8/2015,6/8/2015 9:19,Seattle University / E Columbia St & 12th Ave,6/8/2015 9:30,2nd Ave & Pike St,10m 39s,"The ""Pedal"" Membership"
86733,6/8/2015,6/8/2015 9:19,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 9:22,Bellevue Ave & E Pine St,3m 6s,"The ""Pedal"" Membership"
86734,6/8/2015,6/8/2015 9:20,Harvard Ave & E Pine St,6/8/2015 9:30,9th Ave N & Mercer St,9m 27s,"The ""Pedal"" Membership"
86735,6/8/2015,6/8/2015 9:22,12th Ave & E Mercer St,6/8/2015 9:36,1st Ave & Marion St,14m 11s,"The ""Gear"" Membership"
86736,6/8/2015,6/8/2015 9:22,Pier 69 / Alaskan Way & Clay St,6/8/2015 9:27,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,5m 7s,"The ""Pedal"" Membership"
86737,6/8/2015,6/8/2015 9:23,Summit Ave E & E Republican St,6/8/2015 9:30,Westlake Ave & 6th Ave,6m 45s,"The ""Gear"" Membership"
86738,6/8/2015,6/8/2015 9:23,Frye Art Museum / Terry Ave & Columbia St,6/8/2015 9:35,Republican St & Westlake Ave N,12m 9s,"The ""Pedal"" Membership"
86739,6/8/2015,6/8/2015 9:25,12th Ave & E Mercer St,6/8/2015 9:30,Cal Anderson Park / 11th Ave & Pine St,4m 53s,"The ""Pedal"" Membership"
86740,6/8/2015,6/8/2015 9:25,12th Ave & E Mercer St,6/8/2015 9:35,PATH / 9th Ave & Westlake Ave,9m 19s,"The ""Pedal"" Membership"
86741,6/8/2015,6/8/2015 9:26,2nd Ave & Pike St,6/8/2015 9:37,9th Ave N & Mercer St,11m 41s,"The ""Pedal"" Membership"
86742,6/8/2015,6/8/2015 9:29,12th Ave & E Yesler Way,6/8/2015 11:02,12th Ave & E Yesler Way,1h 32m 32s,24-Hour Pass
86743,6/8/2015,6/8/2015 9:30,Occidental Park / Occidental Ave S & S Washington St,6/8/2015 9:40,2nd Ave & Pike St,9m 59s,3-Day Pass
86744,6/8/2015,6/8/2015 9:32,12th Ave & E Yesler Way,6/8/2015 11:03,12th Ave & E Yesler Way,1h 30m 15s,24-Hour Pass
86745,6/8/2015,6/8/2015 9:33,12th Ave & E Yesler Way,6/8/2015 11:02,12th Ave & E Yesler Way,1h 29m 26s,24-Hour Pass
86746,6/8/2015,6/8/2015 9:34,7th Ave & Union St,6/8/2015 9:52,Key Arena / 1st Ave N & Harrison St,18m 4s,"The ""Pedal"" Membership"
86747,6/8/2015,6/8/2015 9:35,2nd Ave & Pike St,6/8/2015 9:43,PATH / 9th Ave & Westlake Ave,8m 20s,"The ""Pedal"" Membership"
86748,6/8/2015,6/8/2015 9:35,12th Ave & E Yesler Way,6/8/2015 11:03,12th Ave & E Yesler Way,1h 27m 34s,24-Hour Pass
86749,6/8/2015,6/8/2015 9:37,E Pine St & 16th Ave,6/8/2015 9:45,6th Ave & Blanchard St,7m 44s,"The ""Pedal"" Membership"
86750,6/8/2015,6/8/2015 9:40,Dexter Ave N & Aloha St,6/8/2015 9:46,PATH / 9th Ave & Westlake Ave,6m 1s,"The ""Pedal"" Membership"
86751,6/8/2015,6/8/2015 9:41,E Harrison St & Broadway Ave E,6/8/2015 9:49,PATH / 9th Ave & Westlake Ave,8m 12s,"The ""Pedal"" Membership"
86753,6/8/2015,6/8/2015 9:42,2nd Ave & Pike St,6/8/2015 9:45,1st Ave & Marion St,2m 59s,3-Day Pass
86754,6/8/2015,6/8/2015 9:43,15th Ave E & E Thomas St,6/8/2015 9:54,2nd Ave & Blanchard St,10m 44s,"The ""Pedal"" Membership"
86755,6/8/2015,6/8/2015 9:44,Westlake Ave & 6th Ave,6/8/2015 9:50,9th Ave N & Mercer St,6m 14s,"The ""Pedal"" Membership"
86756,6/8/2015,6/8/2015 9:45,12th Ave & E Yesler Way,6/8/2015 9:50,City Hall / 4th Ave & James St,5m 30s,"The ""Pedal"" Membership"
86757,6/8/2015,6/8/2015 9:46,Dexter Ave N & Aloha St,6/8/2015 9:53,PATH / 9th Ave & Westlake Ave,6m 18s,"The ""Pedal"" Membership"
86758,6/8/2015,6/8/2015 9:48,Summit Ave & E Denny Way,6/8/2015 10:03,3rd Ave & Broad St,14m 15s,"The ""Pedal"" Membership"
86759,6/8/2015,6/8/2015 9:51,2nd Ave & Vine St,6/8/2015 9:57,2nd Ave & Pike St,5m 52s,"The ""Pedal"" Membership"
86760,6/8/2015,6/8/2015 9:52,Dexter Ave & Denny Way,6/8/2015 9:56,9th Ave N & Mercer St,3m 19s,"The ""Pedal"" Membership"
86761,6/8/2015,6/8/2015 9:54,E Harrison St & Broadway Ave E,6/8/2015 10:05,2nd Ave & Blanchard St,10m 55s,"The ""Pedal"" Membership"
86762,6/8/2015,6/8/2015 9:57,Summit Ave & E Denny Way,6/8/2015 10:05,15th Ave E & E Thomas St,8m 23s,24-Hour Pass
86763,6/8/2015,6/8/2015 9:59,Dexter Ave N & Aloha St,6/8/2015 10:03,9th Ave N & Mercer St,4m 26s,"The ""Pedal"" Membership"
86764,6/8/2015,6/8/2015 10:00,Dexter Ave & Denny Way,6/8/2015 10:14,E Blaine St & Fairview Ave E,14m 5s,"The ""Gear"" Membership"
86765,6/8/2015,6/8/2015 10:05,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,6/8/2015 12:23,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2h 17m 15s,24-Hour Pass
86768,6/8/2015,6/8/2015 10:09,6th Ave S & S King St,6/8/2015 12:23,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2h 14m 7s,24-Hour Pass
86769,6/8/2015,6/8/2015 10:10,Bellevue Ave & E Pine St,6/8/2015 10:28,12th Ave & E Denny Way,18m 34s,24-Hour Pass
86770,6/8/2015,6/8/2015 10:10,Bellevue Ave & E Pine St,6/8/2015 10:28,12th Ave & E Denny Way,18m 7s,24-Hour Pass
86771,6/8/2015,6/8/2015 10:10,6th Ave S & S King St,6/8/2015 12:21,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2h 10m 40s,24-Hour Pass
86772,6/8/2015,6/8/2015 10:11,REI / Yale Ave N & John St,6/8/2015 10:30,Lake Union Park / Valley St & Boren Ave N,19m 2s,"The ""Pedal"" Membership"
86773,6/8/2015,6/8/2015 10:12,6th Ave & Blanchard St,6/8/2015 10:17,9th Ave N & Mercer St,4m 51s,"The ""Pedal"" Membership"
